POC,X,Y,W,D,dQP,PRED_MODE,PU_SIZE,BITS,DISTORTION,BEST_COST,SAD,SSE,MSE,COST_2Nx2N,COST_MSM,RATIO_2Nx2N-MSM,REL_RATIO_2Nx2N-MSM,RATIO_BEST_2Nx2N,RATIO_BEST-MSM,REL_RATIO_BEST-MSM,TU_DEPTH,TR_SKIP,NON-Z-COEFF,TIME_ms,REF_IDX,MV_MOD_INT,MV_MOD_FRAC,PREDMV_MOD_INT,PREDMV_MOD_FRAC,MVD_MOD_INT,MVD_MOD_FRAC,MVP_IDX,INTER_DIR,FME,COLOC_SPLIT,UP_SPLIT,LEFT_SPLIT,UPLEFT_SPLIT,UPRIGHT_SPLIT,CTX_SPLIT,AVG_NEIGH_DEPTH,SVM_PU_UP,SVM_TU_UP,SVM_FME_UP,SVM_CU,SVM_PU,SVM_TU,SVM_FME,FINAL_PU,FINAL_TU,FINAL_FME,SPLIT
4.000000,48.000000,112.000000,16.000000,2.000000,0.000000,0.000000,0.000000,3.000000,7067.000000,9239.518400,0.000000,0.000000,0.000000,13439.555200,9239.518400,1.454573,0.454573,0.687487,1.000000,0.000000,0.000000,0.000000,1.000000,0.000000,1.000000,7.071068,0.790569,7.071068,0.790569,0.000000,0.000000,-1.000000,3.000000,2.000000,1.000000,0.000000,0.000000,0.000000,0.000000,1.000000,1.168851,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,0.000000,0.000000,2.000000,0.000000
4.000000,64.000000,64.000000,64.000000,0.000000,0.000000,2.000000,0.000000,160.000000,451254.000000,567121.648000,0.000000,0.000000,0.000000,567121.648000,665460.545600,0.852224,-0.147776,1.000000,0.852224,-0.147776,1.000000,0.000000,21.000000,0.000000,1.000000,9.055385,0.353553,10.049876,0.790569,2.000000,0.500000,0.000000,3.000000,2.000000,2.000000,0.000000,1.000000,0.000000,0.000000,3.000000,1.065264,-1.000000,-1.000000,-1.000000,1.000000,1.000000,1.000000,1.000000,5.000000,1.000000,2.000000,1.000000
4.000000,64.000000,64.000000,32.000000,1.000000,0.000000,2.000000,0.000000,33.000000,128058.000000,151955.702400,0.000000,0.000000,0.000000,151955.702400,174581.441600,0.870400,-0.129600,1.000000,0.870400,-0.129600,0.000000,0.000000,2.000000,0.000000,1.000000,8.246211,0.790569,9.486833,0.790569,1.414214,0.000000,0.000000,1.000000,2.000000,2.000000,0.000000,1.000000,0.000000,0.000000,3.000000,1.065264,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,6.000000,0.000000,2.000000,1.000000
4.000000,64.000000,64.000000,16.000000,2.000000,0.000000,1.000000,0.000000,17.000000,17735.000000,30045.937600,0.000000,0.000000,0.000000,30045.937600,35553.345600,0.845095,-0.154905,1.000000,0.845095,-0.154905,0.000000,0.000000,1.000000,0.000000,1.000000,8.062258,0.500000,10.049876,0.790569,2.236068,0.353553,0.000000,1.000000,1.000000,2.000000,0.000000,0.000000,0.000000,0.000000,2.000000,1.065264,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,0.000000,0.000000,1.000000,0.000000
4.000000,80.000000,64.000000,16.000000,2.000000,0.000000,2.000000,0.000000,8.000000,23912.000000,29705.382400,0.000000,0.000000,0.000000,35991.665600,29705.382400,1.211621,0.211621,0.825341,1.000000,0.000000,0.000000,0.000000,1.000000,0.000000,1.000000,8.062258,0.500000,8.062258,0.500000,0.000000,0.000000,-1.000000,1.000000,1.000000,1.000000,0.000000,0.000000,0.000000,0.000000,1.000000,1.065264,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,0.000000,0.000000,1.000000,0.000000
4.000000,64.000000,80.000000,16.000000,2.000000,0.000000,1.000000,0.000000,12.000000,20820.000000,29510.073600,0.000000,0.000000,0.000000,29510.073600,31501.864000,0.936772,-0.063228,1.000000,0.936772,-0.063228,0.000000,0.000000,2.000000,0.000000,0.000000,9.219544,0.750000,10.198039,0.500000,0.000000,0.750000,1.000000,1.000000,2.000000,1.000000,0.000000,0.000000,0.000000,0.000000,1.000000,1.065264,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,0.000000,0.000000,2.000000,0.000000
4.000000,80.000000,80.000000,16.000000,2.000000,0.000000,2.000000,0.000000,29.000000,23219.000000,44220.011200,0.000000,0.000000,0.000000,50460.147200,44220.011200,1.141116,0.141116,0.876335,1.000000,0.000000,0.000000,0.000000,1.000000,0.000000,1.000000,8.062258,0.500000,8.062258,0.500000,0.000000,0.000000,-1.000000,3.000000,1.000000,1.000000,0.000000,0.000000,0.000000,0.000000,1.000000,1.065264,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,0.000000,0.000000,0.000000,0.000000
4.000000,96.000000,64.000000,32.000000,1.000000,0.000000,0.000000,0.000000,2.000000,47731.000000,49179.345600,0.000000,0.000000,0.000000,58221.382400,49179.345600,1.183858,0.183858,0.844696,1.000000,0.000000,0.000000,0.000000,2.000000,0.000000,1.000000,7.071068,0.790569,7.071068,0.790569,0.000000,0.000000,-1.000000,3.000000,2.000000,1.000000,0.000000,1.000000,0.000000,0.000000,2.000000,1.065264,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,0.000000,1.000000,1.000000
4.000000,96.000000,64.000000,16.000000,2.000000,0.000000,0.000000,0.000000,2.000000,8564.000000,10012.345600,0.000000,0.000000,0.000000,14357.382400,10012.345600,1.433968,0.433968,0.697366,1.000000,0.000000,0.000000,0.000000,1.000000,0.000000,1.000000,8.062258,0.500000,8.062258,0.500000,0.000000,0.000000,-1.000000,1.000000,1.000000,1.000000,0.000000,0.000000,0.000000,0.000000,1.000000,1.065264,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,0.000000,0.000000,1.000000,0.000000
4.000000,112.000000,64.000000,16.000000,2.000000,0.000000,0.000000,0.000000,3.000000,9868.000000,12040.518400,0.000000,0.000000,0.000000,16030.555200,12040.518400,1.331384,0.331384,0.751098,1.000000,0.000000,0.000000,0.000000,1.000000,0.000000,1.000000,7.071068,0.790569,7.071068,0.790569,0.000000,0.000000,-1.000000,3.000000,2.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1.065264,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,0.000000,0.000000,2.000000,0.000000
