POC,X,Y,W,D,dQP,PRED_MODE,PU_SIZE,BITS,DISTORTION,BEST_COST,SAD,SSE,MSE,COST_2Nx2N,COST_MSM,RATIO_2Nx2N-MSM,REL_RATIO_2Nx2N-MSM,RATIO_BEST_2Nx2N,RATIO_BEST-MSM,REL_RATIO_BEST-MSM,TU_DEPTH,TR_SKIP,NON-Z-COEFF,TIME_ms,REF_IDX,MV_MOD_INT,MV_MOD_FRAC,PREDMV_MOD_INT,PREDMV_MOD_FRAC,MVD_MOD_INT,MVD_MOD_FRAC,MVP_IDX,INTER_DIR,FME,COLOC_SPLIT,UP_SPLIT,LEFT_SPLIT,UPLEFT_SPLIT,UPRIGHT_SPLIT,CTX_SPLIT,AVG_NEIGH_DEPTH,SVM_PU_UP,SVM_TU_UP,SVM_FME_UP,SVM_CU,SVM_PU,SVM_TU,SVM_FME,FINAL_PU,FINAL_TU,FINAL_FME,SPLIT
2.000000,384.000000,48.000000,16.000000,2.000000,0.000000,0.000000,0.000000,0.000000,3460.000000,3460.000000,0.000000,0.000000,0.000000,7006.377570,3460.000000,2.024965,1.024965,0.493836,1.000000,0.000000,0.000000,0.000000,1.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-1.000000,3.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1.053763,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,0.000000,0.000000,0.000000,0.000000
2.000000,400.000000,48.000000,16.000000,2.000000,0.000000,2.000000,0.000000,54.000000,13753.000000,28625.337597,0.000000,0.000000,0.000000,30561.578575,28625.337597,1.067641,0.067641,0.936645,1.000000,0.000000,1.000000,0.000000,2.000000,0.000000,1.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-1.000000,1.000000,0.000000,1.000000,0.000000,0.000000,0.000000,0.000000,1.000000,1.053763,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,0.000000,1.000000,0.000000,1.000000
2.000000,400.000000,48.000000,8.000000,3.000000,0.000000,0.000000,0.000000,1.000000,2345.000000,2620.413659,0.000000,0.000000,0.000000,8032.136592,2620.413659,3.065217,2.065217,0.326241,1.000000,0.000000,0.000000,0.000000,2.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-1.000000,3.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1.053763,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,0.000000,0.000000,0.000000,0.000000
2.000000,408.000000,48.000000,8.000000,3.000000,0.000000,0.000000,0.000000,4.000000,7736.000000,8837.654637,0.000000,0.000000,0.000000,10214.722933,8837.654637,1.155818,0.155818,0.865188,1.000000,0.000000,0.000000,0.000000,2.000000,0.000000,1.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-1.000000,1.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1.053763,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,0.000000,0.000000,0.000000,0.000000
2.000000,400.000000,56.000000,8.000000,3.000000,0.000000,0.000000,0.000000,4.000000,1497.000000,2598.654637,0.000000,0.000000,0.000000,4251.136592,2598.654637,1.635899,0.635899,0.611285,1.000000,0.000000,0.000000,0.000000,2.000000,0.000000,1.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-1.000000,1.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1.053763,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,0.000000,0.000000,0.000000,0.000000
2.000000,408.000000,56.000000,8.000000,3.000000,0.000000,2.000000,0.000000,34.000000,3559.000000,12923.064413,0.000000,0.000000,0.000000,15717.823435,12923.064413,1.216261,0.216261,0.822192,1.000000,0.000000,0.000000,0.000000,2.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-1.000000,3.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1.053763,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,2.000000,0.000000,0.000000,0.000000
2.000000,0.000000,64.000000,64.000000,0.000000,0.000000,2.000000,0.000000,545.000000,214276.000000,364376.444269,0.000000,0.000000,0.000000,367177.098906,364376.444269,1.007686,0.007686,0.992372,1.000000,0.000000,1.000000,0.000000,5.000000,0.000000,0.000000,0.000000,0.250000,0.000000,0.250000,0.000000,0.000000,-1.000000,3.000000,2.000000,2.000000,0.000000,0.000000,0.000000,0.000000,2.000000,1.447368,-1.000000,-1.000000,-1.000000,1.000000,1.000000,1.000000,1.000000,2.000000,1.000000,0.000000,1.000000
2.000000,0.000000,64.000000,32.000000,1.000000,0.000000,0.000000,0.000000,2.000000,41852.000000,42402.827318,0.000000,0.000000,0.000000,45156.963911,42402.827318,1.064952,0.064952,0.939010,1.000000,0.000000,0.000000,0.000000,1.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-1.000000,3.000000,0.000000,1.000000,0.000000,0.000000,0.000000,0.000000,1.000000,1.447368,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,0.000000,0.000000,0.000000,0.000000
2.000000,32.000000,64.000000,32.000000,1.000000,0.000000,2.000000,0.000000,162.000000,95702.000000,140319.012792,0.000000,0.000000,0.000000,158008.519188,140319.012792,1.126066,0.126066,0.888047,1.000000,0.000000,0.000000,0.000000,9.000000,0.000000,0.000000,3.000000,0.790569,3.000000,0.790569,0.000000,0.000000,-1.000000,3.000000,2.000000,2.000000,0.000000,0.000000,0.000000,0.000000,2.000000,1.447368,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,2.000000,1.000000,0.000000,1.000000
2.000000,32.000000,64.000000,16.000000,2.000000,0.000000,1.000000,0.000000,9.000000,5620.000000,8098.722933,0.000000,0.000000,0.000000,8098.722933,24648.719050,0.328566,-0.671434,1.000000,0.328566,-0.671434,0.000000,0.000000,8.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1.000000,0.000000,1.000000,0.000000,0.000000,0.000000,0.000000,1.000000,1.447368,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,0.000000,0.000000,0.000000,0.000000
